#,#,Recipe,Wf ID,Sample,Sub,MoN type,H2 treatment,MoN cyc,MoN THK (A),Mo cyc,Avg. THK (Å),THK Range (Å),THK Range (%),THK Unif. (%),Rs (Ω/□),Rs Range (Ω/□),Rs Unif. (%),Resistivity (μΩ-㎝),13P Resistivity (μΩ-㎝),Center Unif. (%),Center THK (Å),Center Resistivity (μΩ-㎝) ,Min (nm),Max (nm),Mid (nm),Mean (nm),Rpv (nm),Rq (nm),Ra (nm),Rz (nm),Rsk,Rku
1,1,(R)_R08.1_L12B25_2.5s_11_3_Both TV 0.1s,MET-202 #02,2.5s MoN + 2.5s Mo,AlO 25A,2.5s MoN,X,12,10,25,28.21,7.78,13.79,8.37,490.11,56.20,28.80,138.28,140.62,6.11,27.63,139.90,-1.559,4.257,1.349,0.000,5.817,0.687,0.548,5.230,-0.826,3.721
2,2,(R)_R08.1_L12B32_2.5s_11_3_Both TV 0.1s,MET-202 #03,2.5s MoN + 2.5s Mo,AlO 25A,2.5s MoN,X,12,10,32,38.58,9.31,12.07,6.98,188.88,41.90,20.96,72.87,73.30,4.98,37.65,0.00,-1.716,4.403,1.344,0.013,6.119,0.788,0.628,5.608,-0.866,3.636
3,3,(R)_R08.1_L12B48_2.5s_11_3_Both TV 0.1s,MET-202 #04,2.5s MoN + 2.5s Mo,AlO 25A,2.5s MoN,X,12,10,48,61.24,11.72,9.57,5.66,69.06,29.84,14.96,42.29,42.29,4.32,59.98,41.56,-1.224,3.137,0.957,-0.001,4.362,0.520,0.409,4.107,-0.933,4.063
4,4,(R)_R08.1_L12B25_2.5s_11_3_Both TV 0.1s_H2T,MET-202 #05,2.5s MoN + 2.5s Mo,AlO 25A,2.5s MoN,in-situ,12,10,25,25.81,13.23,25.64,15.02,940.33,201.06,86.93,242.66,269.19,10.85,24.42,210.19,-2.487,4.138,0.825,0.000,6.625,0.897,0.727,6.265,-0.210,2.777
5,5,(R)_R08.1_L12B32_2.5s_11_3_Both TV 0.1s_H2T,MET-201 #21,2.5s MoN + 2.5s Mo,AlO 25A,2.5s MoN,in-situ,12,10,32,34.78,9.47,13.62,7.86,321.40,53.82,29.54,111.77,117.67,5.95,31.97,140.89,-2.432,3.903,0.736,-0.001,6.335,0.869,0.706,5.883,-0.253,2.714
6,6,(R)_R08.1_L12B48_2.5s_11_3_Both TV 0.1s_H2T,MET-202 #07,2.5s MoN + 2.5s Mo,AlO 25A,2.5s MoN,in-situ,12,10,48,59.88,17.10,14.27,8.13,67.60,48.47,23.36,40.48,40.58,5.98,56.92,39.35,-1.583,3.314,0.866,0.000,4.896,0.607,0.484,4.745,-0.551,3.373
1,7,(R)_R08.1_L12B25_2.5s_11_3_Both TV 0.1s,MET-200 #18,2.5s MoN + 2.5s Mo,PN sub,2.5s MoN,X,12,10,25,39.11,4.34,5.55,3.35,149.44,16.59,8.84,58.44,59.38,2.11,37.22,56.74,-0.586,0.585,-0.001,0.000,1.171,0.136,0.109,1.099,-0.044,2.997
2,8,(R)_R08.1_L12B32_2.5s_11_3_Both TV 0.1s,MET-200 #19,2.5s MoN + 2.5s Mo,PN sub,2.5s MoN,X,12,10,32,49.88,4.33,4.34,2.64,83.97,10.56,4.63,41.88,42.13,1.87,47.67,41.98,-0.585,0.682,0.049,0.000,1.267,0.148,0.119,1.184,-0.058,2.992
3,9,(R)_R08.1_L12B48_2.5s_11_3_Both TV 0.1s,MET-200 #20,2.5s MoN + 2.5s Mo,PN sub,2.5s MoN,X,12,10,48,71.11,9.01,6.34,3.65,47.83,27.10,14.44,34.01,33.95,2.88,68.80,39.04,-0.803,0.989,0.093,0.000,1.792,0.197,0.157,1.607,-0.064,3.047
4,10,(R)_R08.1_L12B25_2.5s_11_3_Both TV 0.1s_H2T,MET-200 #21,2.5s MoN + 2.5s Mo,PN sub,2.5s MoN,in-situ,12,10,25,27.82,6.87,12.34,7.65,5562.25,402.69,137.77,1547.59,2155.05,3.63,26.87,919.46,-1.797,3.899,1.051,0.007,5.696,0.727,0.589,5.356,-0.431,2.963
5,11,(R)_R08.1_L12B32_2.5s_11_3_Both TV 0.1s_H2T,MET-200 #22,2.5s MoN + 2.5s Mo,PN sub,2.5s MoN,in-situ,12,10,32,38.06,7.36,9.67,4.80,337.43,58.22,27.53,128.42,137.48,2.97,37.57,122.02,-1.699,3.360,0.830,0.000,5.059,0.673,0.542,4.865,-0.533,3.126
6,12,(R)_R08.1_L12B48_2.5s_11_3_Both TV 0.1s_H2T,MET-200 #23,2.5s MoN + 2.5s Mo,PN sub,2.5s MoN,in-situ,12,10,48,64.42,7.76,6.02,3.23,47.83,17.62,8.86,30.81,31.47,2.15,62.76,30.72,-1.619,2.970,0.676,0.000,4.589,0.527,0.417,4.364,-0.601,3.521
